Metric,Value
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.315249
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.801272
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,2
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.255383860176732
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.25732980363817876
timing__hold__ws__corner:max_ss_100C_1v60,0.9147313720946989
timing__setup__ws__corner:max_ss_100C_1v60,3.402898059652063
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.914731
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,5.209665
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,2
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.25359537410020583
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.25418165514051594
timing__hold__ws__corner:max_ff_n40C_1v95,0.11654594286192634
timing__setup__ws__corner:max_ff_n40C_1v95,5.043040794369038
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.116546
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.499884
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,3
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79964
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79986
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000359167
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000311155
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000115101
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000311155
design_powergrid__voltage__worst,0.000311155
design_powergrid__voltage__worst__net:VPWR,1.79964
design_powergrid__drop__worst,0.000359167
design_powergrid__drop__worst__net:VPWR,0.000359167
design_powergrid__voltage__worst__net:VGND,0.000311155
design_powergrid__drop__worst__net:VGND,0.000311155
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00013500000000000000172604985859692305893986485898494720458984375
ir__drop__worst,0.0003589999999999999983658904856298477170639671385288238525390625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
